(0.465345, -0.226870)
(0.089435, -0.369382)
(0.356020, -0.605363)
(0.009095, 0.704733)
(0.858029, 0.493750)
(0.858525, 0.403430)
(-0.532089, -0.114547)
(0.344650, -0.831641)
(0.615816, 0.733448)
(0.179679, 0.118637)
(0.309493, 0.118388)
(-0.449967, 0.050687)
(0.780008, -0.706909)
(0.214532, 0.396180)
(0.603061, 0.640723)
(0.208708, -0.664017)
(0.630065, 0.818519)
(0.569575, 0.681078)
(-0.026006, -0.100321)
(0.706496, -0.798170)
(0.394562, -0.675882)
(0.072175, 0.233955)
(-0.494021, 0.229206)
(0.503825, 0.750158)
(0.293906, 0.613678)
(-0.435460, -0.717112)
(-0.112921, -0.577666)
(-0.109573, 0.393451)
(0.016316, 0.009424)
(0.465345, -0.226903)
(0.089421, -0.369409)
(0.356024, -0.605393)
(0.009088, 0.704749)
(0.858072, 0.493721)
(0.858551, 0.403483)
(-0.532108, -0.114540)
(0.344668, -0.831680)
(0.615819, 0.733470)
(0.179700, 0.118650)
(-0.467213, -0.752015)
(0.309472, 0.118372)
(-0.449928, 0.050734)
(-0.509252, -0.619051)
(0.780024, -0.706911)
(0.214539, 0.396193)
(0.603071, 0.640726)
(0.208667, -0.663982)
(0.630069, 0.818542)
(0.569580, 0.681085)
(-0.026076, -0.100332)
(0.706500, -0.798178)
(0.394564, -0.675897)
(0.072203, 0.233894)
(0.503829, 0.750169)
(0.293890, 0.613707)
(-0.435479, -0.717124)
(-0.112908, -0.577689)
(-0.109629, 0.393439)
(0.016265, 0.009434)
(0.465346, -0.226936)
(0.089407, -0.369436)
(0.356028, -0.605422)
(0.858115, 0.493692)
(0.858576, 0.403536)
(-0.532128, -0.114532)
(0.344687, -0.831719)
(0.615821, 0.733492)
(0.179721, 0.118662)
(-0.467217, -0.752035)
(0.309452, 0.118355)
(-0.449889, 0.050782)
(-0.509271, -0.619054)
(0.780041, -0.706913)
(0.214545, 0.396206)
(0.603080, 0.640729)
(0.208625, -0.663947)
(0.630073, 0.818564)
(0.569585, 0.681092)
(-0.026145, -0.100344)
(0.706505, -0.798186)
(0.394567, -0.675913)
(0.072230, 0.233834)
(0.503834, 0.750180)
(0.293874, 0.613736)
(-0.435499, -0.717137)
(-0.112896, -0.577713)
(0.016215, 0.009443)
(0.465347, -0.226970)
(0.089393, -0.369464)
(0.356031, -0.605452)
(0.858157, 0.493663)
(0.858602, 0.403588)
(-0.532147, -0.114525)
